,objectid,State,District,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Longitude,Latitude,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow Depth,Short-wave irradiation
308,313,Uttar Pradesh,Allahabad,6725851139.946601,654740.5978264826,20676,1860,18523,293,1,5954391,81.89469678480894,25.36559223041493,304.25,39.51,992.82,0.68,163.6,3.5e-05,0.0,0.0,7328.946
309,314,Uttar Pradesh,Varanasi,1886363783.8684914,332266.4118065573,15241,1824,13134,283,0,3147927.0,82.84739523829684,25.375098335015583,304.17,43.58,994.39,0.43,141.85,0.0013050000000000002,0.0,0.0,7301.389
310,315,Bihar,Darbhanga,3122477728.993326,538304.353963031,3307,184,3103,20,1,3937385.0,86.04053748940048,26.108796174575023,301.66,59.63,1000.34,2.66,106.16,1.00179,0.0,0.0,5037.217
311,316,Rajasthan,Baran,8545512170.506942,710410.6662519809,1345,88,1232,25,2,1223921.0,76.79779788849142,24.98632878954058,307.21,21.73,966.61,3.24,320.3,0.0,0.0,0.0,7324.335
312,317,Rajasthan,Udaipur,14185448231.286526,977939.8015257858,5244,429,4763,52,1,3067549.0,73.7157174934269,24.413827723815533,306.81,18.46,950.28,4.49,290.88,0.0,0.0,0.0,7808.8
313,318,Madhya Pradesh,Rewa,7667079351.766853,734727.122142378,1850,213,1609,28,2,2365106.0,81.6054850965435,24.793017317833677,304.01,36.2,978.06,0.54,202.9,0.000323,0.0,0.0,7340.109
314,319,Bihar,Nawada,3038175714.8171463,424076.0179839664,2907,313,2578,16,1,2219146.0,85.59505992740111,24.822109276304825,302.79,51.01,987.89,1.64,102.52,0.313126,0.0,0.0,6988.897
315,320,Bihar,Gaya,6046023704.855162,689330.1687076122,5968,342,5581,45,0,4391418.0,84.86503181792558,24.64330732636434,303.94,43.4,983.75,1.19,75.22,0.099891,0.0,0.0,7298.973
316,321,Rajasthan,Jhalawar,7671896680.544251,843050.0974095088,2491,107,2373,11,0,1411327.0,76.08156965346726,24.264970787088714,307.62,22.19,962.77,3.04,316.81,1e-06,0.0,0.0,7254.812
317,322,Jharkhand,Pakur,2201687060.190328,374810.33974036854,794,122,670,2,2,900422.0,87.6880206623997,24.580971322855348,301.73,63.04,997.08,1.85,123.51,2.5688869999999997,0.0,0.0,6415.282
318,323,Madhya Pradesh,Mandsaur,6705957016.067888,622770.1962190797,1603,122,1464,17,1,1340411.0,75.49260755940755,24.215230762731135,307.65,21.4,958.47,3.3,305.27,2e-06,0.0,0.0,7306.969
319,324,Bihar,Munger,1731195118.2014682,300961.16112487373,3164,234,2894,36,0,1367765.0,86.57798859698103,25.168105246816502,302.12,58.52,997.24,2.21,109.04,1.0085819999999999,0.0,0.0,6517.247
320,325,Mizoram,Aizawl,4222505406.465653,482422.5801033479,1394,72,1322,0,2,339812.0,93.00205372118829,24.148584709021087,297.87,69.24,944.07,0.63,283.57,3.145714,0.0,0.0,6088.42
321,326,Jharkhand,Deoghar,3004783119.310226,347764.3856877725,2672,153,2504,15,1,1492073.0,86.7537638655843,24.289013634698218,301.43,60.72,985.19,1.32,125.72,1.044537,0.0,0.0,6753.756
322,327,Jharkhand,Palamu,5302082127.995914,529854.8997608492,2841,122,2708,11,2,1939869.0,84.22216221838897,24.199108614530598,304.09,39.14,972.42,0.92,10.57,0.015918,0.0,0.0,7516.785
323,328,Jharkhand,Chatra,4492830790.296565,584303.6718379171,1229,126,1095,8,2,1042886.0,84.97544284904433,24.140638327987226,302.7,45.39,963.95,0.77,59.76,0.116378,0.0,0.0,7461.361
324,329,Tripura,Sipahijala,1246303510.7750845,284706.4479981593,2613,109,2480,24,2,"484,233",91.34943166905437,23.58293008581928,299.7,79.47,1003.84,1.53,184.68,2.5673880000000002,0.0,0.0,6719.741
325,330,Madhya Pradesh,Vidisha,8774035044.529922,753938.4526352047,1795,171,1588,36,1,1458875.0,77.82870107944822,23.793650914425175,307.22,19.52,955.13,3.14,334.85,6e-06,0.0,0.0,7373.059
326,331,Gujarat,Mehsana,5254775133.563046,666350.3463748295,3081,847,2204,30,1,2027727.0,72.3951993958405,23.534454173670053,308.91,23.29,996.75,4.45,289.91,5e-06,0.0,0.0,7651.184
327,332,Rajasthan,Dungarpur,4544680098.7954855,426564.47565984033,2070,214,1839,17,1,1388906.0,73.83607125076696,23.71915670379406,308.76,17.48,976.05,4.32,289.57,0.0,0.0,0.0,7648.104
328,333,Jharkhand,Dhanbad,2450499151.549298,250339.4985537928,5429,527,4835,67,1,2684487.0,86.35075911875798,23.887037627873852,301.35,59.6,978.5,0.85,133.15,0.834525,0.0,0.0,6872.594
329,334,Jharkhand,Bokaro,3457778569.119748,474606.5816593964,4372,444,3896,32,1,2062330.0,86.00254887551003,23.691095311342863,301.15,58.56,970.96,0.72,117.98,0.662159,0.0,0.0,7061.23
330,335,Jharkhand,Ramgarh,1669212116.6097546,369989.77155408944,3656,164,3471,21,2,949443.0,85.56611229942257,23.648194918269446,301.07,55.19,959.44,0.64,83.37,0.38818600000000003,0.0,0.0,7285.75
331,336,Madhya Pradesh,Bhopal,3304232243.401012,421420.42314211023,18931,1974,16543,414,0,2371061.0,77.3795486279923,23.485197922532667,307.55,19.74,953.98,3.12,333.53,4e-06,0.0,0.0,7267.642
332,337,Madhya Pradesh,Ujjain,7267950421.761548,802691.5888569424,3102,245,2761,96,0,1986864.0,75.68398787632982,23.293461177853217,307.75,19.23,952.15,3.55,307.38,2e-06,0.0,0.0,7240.954
