,objectid,State,District,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Longitude,Latitude
172,173,Uttar Pradesh,Lakhimpur Kheri,9921483672.626278,797058.5889118104,5919,870,4991,58,2,3200137.0,80.52279250422816,27.989061507152414
173,174,Haryana,Gurugram,1619861258.2143002,280990.9643691145,22675,2299,20195,181,1,1514085.0,76.95907903927333,28.34824565456994
174,175,Haryana,Faridabad,992041646.4242604,186888.07089012122,21034,937,19867,230,0,1798954.0,77.3756129360312,28.341247995439428
175,176,Haryana,Rewari,2019357118.4085464,326076.68083150266,6169,486,5650,33,2,896129.0,76.55326756549239,28.235314483104457
176,177,Haryana,Nuh,1937247577.6355238,389434.8801122229,1189,78,1087,24,1,1089406.0,77.06514454827587,27.979556553678897
177,178,Rajasthan,Sikar,9868630602.070488,831427.683047515,4469,242,4189,38,1,2677737.0,75.38169351457796,27.640353416291966
178,179,Rajasthan,Alwar,10733421871.212635,1025892.9847022169,11983,545,11392,46,1,3671999.0,76.66154410785141,27.59594330647862
179,180,Assam,Dibrugarh,4301699934.935251,509783.045903276,9486,7001,2409,76,2,1327748.0,95.15399254539835,27.293351567063905
180,181,Uttar Pradesh,Aligarh,4772192402.981071,575171.0207400075,8717,620,8058,39,0,3690388.0,78.00717427684438,27.951360815045582
181,182,Rajasthan,Jaipur,14082380055.294012,969634.1558595364,24571,9213,15029,329,0,6663971.0,75.80211798677774,27.052155883645803
182,183,Rajasthan,Jodhpur,28556964765.73136,1185635.3166035241,22501,4963,17387,151,0,3685681.0,72.91983440538627,26.680927019870186
183,184,Rajasthan,Bharatpur,6430485431.223785,836600.5301115492,4618,196,4338,84,0,2549121.0,77.2732772552523,27.31751608156793
184,185,Rajasthan,Nagaur,22535989323.918262,1097482.1791440044,3865,74,3742,49,0,3309234.0,74.1667221723006,27.089622088370998
185,186,Uttar Pradesh,Farrukhabad,2779411957.5624237,394065.3000807167,3440,864,2531,45,2,1577237.0,79.46306457103965,27.407704184657078
186,188,Bihar,West Champaran,6627885981.716919,545933.7884607676,5087,292,4779,16,2,3935042.0,84.31333167751191,26.99499268098723
187,189,Uttar Pradesh,Siddharthnagar,3680721806.7233796,477085.7260257534,3325,311,2977,37,2,2038598.0,82.75796739504456,27.229158670076338
188,190,Uttar Pradesh,Maharajganj,3737070034.148085,461447.21685151453,4935,356,4502,77,2,2167041.0,83.48534480855525,27.1280429233966
189,191,Assam,Sonitpur,4338227996.143073,356664.9528848081,2548,814,1727,7,2,1925975.0,92.64776951661787,26.672508702209065
190,192,West Bengal,Darjeeling,2563481713.894229,371183.79848770227,8634,803,7716,115,0,1797422.0,88.29893113582769,26.787423788475408
191,193,Rajasthan,Dausa,4310939215.760389,588423.2637127751,1179,120,1049,10,1,1637226.0,76.56121930727907,26.87757591886086
192,194,Uttar Pradesh,Lucknow,3190762851.6413627,424088.0993980296,56656,5489,50412,755,0,3681416.0,80.8564314245124,26.839572196403136
193,195,Uttar Pradesh,Basti,3511407052.7310147,425200.6924988239,3910,424,3411,75,1,2068922.0,82.71138604327685,26.922566627593774
194,196,Uttar Pradesh,Gorakhpur,4185732452.8429604,627008.3440429362,16728,1805,14653,270,1,3784720.0,83.37684370613015,26.73066524504652
195,197,Assam,Nagaon,3223842941.791866,678381.1226578003,4515,1993,2506,16,2,2826007.0,92.89760527472676,26.385717150645373
196,198,Bihar,East Champaran,4986852498.411746,539281.1510061279,6929,460,6432,37,1,5099371.0,84.98926653998946,26.62664426038538
197,199,Rajasthan,Barmer,35136853798.78998,1191299.4491512126,2924,170,2724,30,1,2604453.0,71.77553728208315,25.825870656129695
198,200,Assam,Morigaon,1887138455.0252407,252250.56956293434,638,74,557,7,1,957853.0,92.26421620587551,26.236167679365227
199,201,Assam,Kamrup,3864430066.3477774,594730.9971162375,4590,2491,2074,25,2,1517202.0,91.50091203690094,26.12871276723272
200,202,Assam,Bongaigaon,1360853222.4183092,328460.29013080115,1303,464,834,5,2,2060550.0,90.61196519347858,26.384779543346806
201,203,Bihar,Sitamarhi,2752071144.151701,434022.60933503724,3498,50,3437,11,2,3423574.0,85.56040263332274,26.484378622207956
